,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
2950,Mef2d,,2.7314578381988603e-60,Mef2d,,2.7314578381988603e-60
2951,Gtpbp8,,2.5710772566827425e-60,Gtpbp8,,2.5710772566827425e-60
2952,Phf3,,3.404360229211078e-60,Phf3,,3.404360229211078e-60
2953,Apod,,4.036756319973238e-59,Apod,,4.036756319973238e-59
2954,Zfp688,,8.215002726435499e-60,Zfp688,,8.215002726435499e-60
2955,Pura,,2.885049700365341e-60,Pura,,2.885049700365341e-60
2956,Cdpf1,,4.367917632985168e-60,Cdpf1,,4.367917632985168e-60
2957,Cnrip1,,6.300941726398027e-60,Cnrip1,,6.300941726398027e-60
2958,Sbno1,,3.871837807810862e-60,Sbno1,,3.871837807810862e-60
2959,Tmem189,,3.441156409109479e-60,Tmem189,,3.441156409109479e-60
2960,Gm15867,,9.841540381133231e-60,Gm15867,,9.841540381133231e-60
2961,Zfp422,,3.5921764661364416e-60,Zfp422,,3.5921764661364416e-60
2962,Alkbh6,,4.8037269482847407e-60,Alkbh6,,4.8037269482847407e-60
2963,Gm53,,2.319972050553152e-59,Gm53,,2.319972050553152e-59
2964,Parvb,,9.779067196518745e-60,Parvb,,9.779067196518745e-60
2965,C1qtnf4,,2.479047461603401e-59,C1qtnf4,,2.479047461603401e-59
2966,Gnl3,,3.769372930983095e-60,Gnl3,,3.769372930983095e-60
2967,Pcdh7,,9.945054407929696e-60,Pcdh7,,9.945054407929696e-60
2968,Sprr2k,,1.9315030979384662e-59,Sprr2k,,1.9315030979384662e-59
2969,Lcmt1,,5.936188633146404e-60,Lcmt1,,5.936188633146404e-60
2970,Pcna,,4.5280825771487927e-60,Pcna,,4.5280825771487927e-60
2971,Cuedc1,,4.8149517235512106e-60,Cuedc1,,4.8149517235512106e-60
2972,Patl2,,1.4517532536456017e-58,Patl2,,1.4517532536456017e-58
2973,Ccser2,,4.429869245806392e-60,Ccser2,,4.429869245806392e-60
2974,Srsf11,,5.169078918229645e-60,Srsf11,,5.169078918229645e-60
2975,Eif1a,,4.5561946666260584e-60,Eif1a,,4.5561946666260584e-60
2976,Fam210b,,1.251882027412983e-59,Fam210b,,1.251882027412983e-59
2977,Cap1,,7.500905691497266e-60,Cap1,,7.500905691497266e-60
2978,Fam171a2,,2.855128093260545e-59,Fam171a2,,2.855128093260545e-59
2979,Mcm10,,1.7406200825131934e-59,Mcm10,,1.7406200825131934e-59
2980,9830004L10Rik,,2.674830255694749e-58,9830004L10Rik,,2.674830255694749e-58
2981,Acbd3,,9.410489061005844e-60,Acbd3,,9.410489061005844e-60
