,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
0,Acta2,,0.0,Acta2,,0.0
1,Mt2,,0.0,Mt2,,0.0
2,Tagln,,0.0,Tagln,,0.0
3,Myl9,,0.0,Myl9,,0.0
4,Cnn2,,0.0,Cnn2,,0.0
5,Dppa5a,,0.0,Dppa5a,,0.0
6,Mt1,,0.0,Mt1,,0.0
7,Tpm4,,0.0,Tpm4,,0.0
8,Rhox5,,0.0,Rhox5,,0.0
9,S100a6,,0.0,S100a6,,0.0
10,Serpinh1,,0.0,Serpinh1,,0.0
11,Anxa2,,0.0,Anxa2,,0.0
12,Chchd10,,0.0,Chchd10,,0.0
13,Tpm1,,0.0,Tpm1,,0.0
14,Gsta4,,0.0,Gsta4,,0.0
15,Col1a2,,0.0,Col1a2,,0.0
16,Anxa1,,0.0,Anxa1,,0.0
17,Prss23,,0.0,Prss23,,0.0
18,Lgals1,,0.0,Lgals1,,0.0
19,Col1a1,,0.0,Col1a1,,0.0
20,Vim,,0.0,Vim,,0.0
21,Anxa3,,0.0,Anxa3,,0.0
22,Cald1,,0.0,Cald1,,0.0
23,Bex1,,0.0,Bex1,,0.0
24,Tubb6,,0.0,Tubb6,,0.0
25,Mylpf,,0.0,Mylpf,,0.0
26,Pfn1,,0.0,Pfn1,,0.0
27,Lmna,,0.0,Lmna,,0.0
28,Actn1,,0.0,Actn1,,0.0
29,Anxa5,,0.0,Anxa5,,0.0
30,Sod2,,0.0,Sod2,,0.0
31,Tpm2,,0.0,Tpm2,,0.0
32,Lox,,0.0,Lox,,0.0
33,Fabp3,,0.0,Fabp3,,0.0
34,Loxl1,,0.0,Loxl1,,0.0
35,Gsto1,,0.0,Gsto1,,0.0
36,Serpine1,,0.0,Serpine1,,0.0
37,Myl12a,,0.0,Myl12a,,0.0
38,Fbln2,,0.0,Fbln2,,0.0
39,Thbs1,,0.0,Thbs1,,0.0
40,Bgn,,0.0,Bgn,,0.0
41,Fstl1,,0.0,Fstl1,,0.0
42,AA467197,,0.0,AA467197,,0.0
43,Actb,,0.0,Actb,,0.0
44,Cyr61,,0.0,Cyr61,,0.0
45,Wfdc2,,0.0,Wfdc2,,0.0
46,Ass1,,0.0,Ass1,,0.0
47,Hsp90aa1,,0.0,Hsp90aa1,,0.0
48,Cnn1,,0.0,Cnn1,,0.0
49,Ckap4,,0.0,Ckap4,,0.0
50,Rpl18,,0.0,Rpl18,,0.0
51,Mkrn1,,0.0,Mkrn1,,0.0
52,Rhoc,,0.0,Rhoc,,0.0
53,Myl6,,0.0,Myl6,,0.0
54,Meg3,,0.0,Meg3,,0.0
55,Trap1a,,0.0,Trap1a,,0.0
56,Calcoco2,,0.0,Calcoco2,,0.0
57,Zyx,,0.0,Zyx,,0.0
58,Id3,,0.0,Id3,,0.0
59,Timp2,,0.0,Timp2,,0.0
60,Ckb,,0.0,Ckb,,0.0
61,Rplp2,,0.0,Rplp2,,0.0
62,Tuba1a,,0.0,Tuba1a,,0.0
63,Pdlim7,,0.0,Pdlim7,,0.0
64,Tdgf1,,0.0,Tdgf1,,0.0
65,Jam2,,0.0,Jam2,,0.0
66,Bex4,,0.0,Bex4,,0.0
67,Gabarapl2,,0.0,Gabarapl2,,0.0
68,Tnfrsf12a,,0.0,Tnfrsf12a,,0.0
69,Ube2a,,0.0,Ube2a,,0.0
70,Pycard,,0.0,Pycard,,0.0
71,Cav1,,0.0,Cav1,,0.0
72,Tspo,,0.0,Tspo,,0.0
73,Flna,,0.0,Flna,,0.0
74,Rtn4,,0.0,Rtn4,,0.0
75,Gpx8,,0.0,Gpx8,,0.0
76,Dhx16,,0.0,Dhx16,,0.0
77,Cox5a,,0.0,Cox5a,,0.0
78,Ooep,,0.0,Ooep,,0.0
79,Calm1,,0.0,Calm1,,0.0
80,Ilk,,0.0,Ilk,,0.0
81,Syngr1,,0.0,Syngr1,,0.0
82,Fkbp1a,,0.0,Fkbp1a,,0.0
83,Cthrc1,,0.0,Cthrc1,,0.0
84,Klf2,,0.0,Klf2,,0.0
85,Rpl14,,0.0,Rpl14,,0.0
86,Asns,,0.0,Asns,,0.0
87,S100a11,,0.0,S100a11,,0.0
88,Cox7b,,0.0,Cox7b,,0.0
89,Fscn1,,0.0,Fscn1,,0.0
90,Upp1,,0.0,Upp1,,0.0
91,Tagln2,,0.0,Tagln2,,0.0
92,Rps17,,0.0,Rps17,,0.0
93,Rpl10,,0.0,Rpl10,,0.0
94,Col5a2,,0.0,Col5a2,,0.0
95,Rps20,,0.0,Rps20,,0.0
96,Rps13,,0.0,Rps13,,0.0
97,Col5a1,,0.0,Col5a1,,0.0
98,Rps10,,0.0,Rps10,,0.0
99,Prps1,,0.0,Prps1,,0.0
100,Clic1,,0.0,Clic1,,0.0
101,Rcn3,,0.0,Rcn3,,0.0
102,Fkbp10,,0.0,Fkbp10,,0.0
103,Eif2s2,,0.0,Eif2s2,,0.0
104,Rps11,,0.0,Rps11,,0.0
105,Emp3,,0.0,Emp3,,0.0
106,Nanog,,0.0,Nanog,,0.0
107,Pmm1,,0.0,Pmm1,,0.0
108,Fau,,0.0,Fau,,0.0
109,Atp5g1,,0.0,Atp5g1,,0.0
110,Rps23,,0.0,Rps23,,0.0
111,Arl6ip5,,0.0,Arl6ip5,,0.0
112,Snx7,,0.0,Snx7,,0.0
113,Sparc,,0.0,Sparc,,0.0
114,Hspb1,,0.0,Hspb1,,0.0
115,2810417H13Rik,,0.0,2810417H13Rik,,0.0
116,Igfbp7,,0.0,Igfbp7,,0.0
117,Oaf,,0.0,Oaf,,0.0
118,Apoe,,0.0,Apoe,,0.0
119,Efemp2,,0.0,Efemp2,,0.0
120,Gsn,,0.0,Gsn,,0.0
121,Rps3,,0.0,Rps3,,0.0
122,Itgb1,,0.0,Itgb1,,0.0
123,Sri,,0.0,Sri,,0.0
124,Gnas,,0.0,Gnas,,0.0
125,Rpl22,,0.0,Rpl22,,0.0
126,Capn2,,0.0,Capn2,,0.0
127,Rpl23,,0.0,Rpl23,,0.0
128,Col3a1,,0.0,Col3a1,,0.0
129,Ccnd2,,0.0,Ccnd2,,0.0
130,Tmsb4x,,0.0,Tmsb4x,,0.0
131,Gadd45g,,0.0,Gadd45g,,0.0
132,Csrp1,,0.0,Csrp1,,0.0
133,Slc2a3,,0.0,Slc2a3,,0.0
134,Wdr1,,0.0,Wdr1,,0.0
135,Rplp1,,0.0,Rplp1,,0.0
136,Rpl32,,0.0,Rpl32,,0.0
137,Rpl8,,0.0,Rpl8,,0.0
138,Aqp3,,0.0,Aqp3,,0.0
139,Hsp90ab1,,0.0,Hsp90ab1,,0.0
140,E130012A19Rik,,0.0,E130012A19Rik,,0.0
141,1700013H16Rik,,0.0,1700013H16Rik,,0.0
142,S100a13,,0.0,S100a13,,0.0
143,Axl,,0.0,Axl,,0.0
144,Ptrf,,0.0,Ptrf,,0.0
145,Taf7,,0.0,Taf7,,0.0
146,Rps24,,0.0,Rps24,,0.0
147,Gm13580,,0.0,Gm13580,,0.0
148,Rps18,,0.0,Rps18,,0.0
149,Grb10,,0.0,Grb10,,0.0
150,Plaur,,0.0,Plaur,,0.0
151,Abracl,,0.0,Abracl,,0.0
152,Prkcdbp,,0.0,Prkcdbp,,0.0
153,Rps8,,0.0,Rps8,,0.0
154,Rpl19,,0.0,Rpl19,,0.0
155,Rpl36a,,0.0,Rpl36a,,0.0
156,Dctpp1,,0.0,Dctpp1,,0.0
157,Rhox6,,0.0,Rhox6,,0.0
158,Rps12,,0.0,Rps12,,0.0
159,Lpp,,0.0,Lpp,,0.0
160,Tgfb1i1,,0.0,Tgfb1i1,,0.0
161,Renbp,,0.0,Renbp,,0.0
162,Rhox1,,0.0,Rhox1,,0.0
163,Rpp25,,0.0,Rpp25,,0.0
164,Rpl21,,0.0,Rpl21,,0.0
165,Marc2,,0.0,Marc2,,0.0
166,Hat1,,0.0,Hat1,,0.0
167,Glipr2,,0.0,Glipr2,,0.0
168,Rps27a,,0.0,Rps27a,,0.0
169,Cpe,,0.0,Cpe,,0.0
170,Rps4x,,0.0,Rps4x,,0.0
171,Esd,,0.0,Esd,,0.0
172,Cd44,,0.0,Cd44,,0.0
173,Tnc,,0.0,Tnc,,0.0
174,Rps16,,0.0,Rps16,,0.0
175,Rcn2,,0.0,Rcn2,,0.0
176,Copz2,,0.0,Copz2,,0.0
177,Sdpr,,0.0,Sdpr,,0.0
178,Selm,,0.0,Selm,,0.0
179,Rpl11,,0.0,Rpl11,,0.0
180,Rps5,,0.0,Rps5,,0.0
181,Fkbp6,,0.0,Fkbp6,,0.0
182,Pea15a,,0.0,Pea15a,,0.0
183,Dppa3,,0.0,Dppa3,,0.0
184,Rpl30,,0.0,Rpl30,,0.0
185,Folr1,,0.0,Folr1,,0.0
186,Fn1,,0.0,Fn1,,0.0
187,Tspan4,,0.0,Tspan4,,0.0
188,Rps9,,0.0,Rps9,,0.0
189,Morc1,,0.0,Morc1,,0.0
190,Rpl23a,,0.0,Rpl23a,,0.0
191,Phlda1,,0.0,Phlda1,,0.0
192,Rhox9,,0.0,Rhox9,,0.0
193,Fmr1nb,,0.0,Fmr1nb,,0.0
194,Chmp4c,,0.0,Chmp4c,,0.0
195,Ifitm1,,0.0,Ifitm1,,0.0
196,Msn,,0.0,Msn,,0.0
197,Gjb3,,0.0,Gjb3,,0.0
198,Rpl28,,0.0,Rpl28,,0.0
199,Lhfp,,0.0,Lhfp,,0.0
200,Rps7,,0.0,Rps7,,0.0
201,Cystm1,,0.0,Cystm1,,0.0
202,Arhgdib,,0.0,Arhgdib,,0.0
203,Agtrap,,0.0,Agtrap,,0.0
204,Cdc5l,,0.0,Cdc5l,,0.0
205,Impa2,,0.0,Impa2,,0.0
206,Hspe1,,0.0,Hspe1,,0.0
207,Bex2,,0.0,Bex2,,0.0
208,Pcolce,,0.0,Pcolce,,0.0
209,Cisd1,,0.0,Cisd1,,0.0
210,Rexo2,,0.0,Rexo2,,0.0
211,Nhp2,,0.0,Nhp2,,0.0
212,F3,,0.0,F3,,0.0
213,Ankrd1,,0.0,Ankrd1,,0.0
214,Nr2c2ap,,0.0,Nr2c2ap,,0.0
215,Actg2,,0.0,Actg2,,0.0
216,Ldhb,,0.0,Ldhb,,0.0
217,Hmgn3,,0.0,Hmgn3,,0.0
218,Itga5,,0.0,Itga5,,0.0
219,Tex19.1,,0.0,Tex19.1,,0.0
220,Loxl2,,0.0,Loxl2,,0.0
221,Vcl,,0.0,Vcl,,0.0
222,Fhl1,,0.0,Fhl1,,0.0
223,Crlf1,,0.0,Crlf1,,0.0
224,Cd9,,0.0,Cd9,,0.0
225,Nfatc2ip,,0.0,Nfatc2ip,,0.0
226,Thy1,,0.0,Thy1,,0.0
227,Gcat,,0.0,Gcat,,0.0
228,Mrps24,,0.0,Mrps24,,0.0
229,Arpc5,,0.0,Arpc5,,0.0
230,Emp1,,0.0,Emp1,,0.0
231,Ahnak,,0.0,Ahnak,,0.0
232,Calu,,0.0,Calu,,0.0
233,Rpl12,,0.0,Rpl12,,0.0
234,Rbms1,,0.0,Rbms1,,0.0
235,Fkbp3,,0.0,Fkbp3,,0.0
236,Mtf2,,0.0,Mtf2,,0.0
237,Fhl2,,0.0,Fhl2,,0.0
238,Cfl1,,0.0,Cfl1,,0.0
239,Fam198b,,0.0,Fam198b,,0.0
240,Rpl13a,,0.0,Rpl13a,,0.0
241,Utf1,,0.0,Utf1,,0.0
242,Selk,,0.0,Selk,,0.0
243,Inhba,,0.0,Inhba,,0.0
244,Crip1,,0.0,Crip1,,0.0
245,Rpl9,,0.0,Rpl9,,0.0
246,Cyba,,0.0,Cyba,,0.0
247,Npm1,,0.0,Npm1,,0.0
248,Ppic,,0.0,Ppic,,0.0
249,Lage3,,0.0,Lage3,,0.0
250,Creg1,,0.0,Creg1,,0.0
251,Hacd1,,0.0,Hacd1,,0.0
252,Atp6v1f,,0.0,Atp6v1f,,0.0
253,Blvrb,,0.0,Blvrb,,0.0
254,Nrp1,,0.0,Nrp1,,0.0
255,Cox7c,,0.0,Cox7c,,0.0
256,Kdelr3,,0.0,Kdelr3,,0.0
257,Creb3l1,,0.0,Creb3l1,,0.0
258,Dpy30,,0.0,Dpy30,,0.0
259,Ddt,,0.0,Ddt,,0.0
260,Sox2,,0.0,Sox2,,0.0
261,Tm4sf1,,0.0,Tm4sf1,,0.0
262,Rassf1,,0.0,Rassf1,,0.0
263,Rps14,,0.0,Rps14,,0.0
264,Xist,,0.0,Xist,,0.0
265,Aes,,0.0,Aes,,0.0
266,Flnc,,0.0,Flnc,,0.0
267,P3h4,,0.0,P3h4,,0.0
268,Rps15,,0.0,Rps15,,0.0
269,Snrpn,,0.0,Snrpn,,0.0
270,Sh3bgrl,,0.0,Sh3bgrl,,0.0
271,Trim28,,0.0,Trim28,,0.0
272,Prrx2,,0.0,Prrx2,,0.0
273,Ebp,,0.0,Ebp,,0.0
274,1700007K13Rik,,0.0,1700007K13Rik,,0.0
275,Rpl31,,0.0,Rpl31,,0.0
276,Ehd2,,0.0,Ehd2,,0.0
277,Uqcr10,,0.0,Uqcr10,,0.0
278,Prdx5,,0.0,Prdx5,,0.0
279,Foxp1,,0.0,Foxp1,,0.0
280,Ppp1r14d,,0.0,Ppp1r14d,,0.0
281,Tfcp2l1,,0.0,Tfcp2l1,,0.0
282,Wisp1,,0.0,Wisp1,,0.0
283,Serp1,,0.0,Serp1,,0.0
284,Fbn1,,0.0,Fbn1,,0.0
285,Smtnl1,,0.0,Smtnl1,,0.0
286,Junb,,0.0,Junb,,0.0
287,Dtymk,,0.0,Dtymk,,0.0
288,Actn4,,0.0,Actn4,,0.0
289,Cox8a,,0.0,Cox8a,,0.0
290,Ngfrap1,,0.0,Ngfrap1,,0.0
291,Rpl26,,0.0,Rpl26,,0.0
292,Rpl7a,,0.0,Rpl7a,,0.0
293,Timp1,,0.0,Timp1,,0.0
294,Ubxn1,,0.0,Ubxn1,,0.0
295,Fxyd6,,0.0,Fxyd6,,0.0
296,Alg13,,0.0,Alg13,,0.0
297,Echdc2,,0.0,Echdc2,,0.0
298,Tm9sf3,,0.0,Tm9sf3,,0.0
299,Chchd2,,0.0,Chchd2,,0.0
300,Rpl29,,0.0,Rpl29,,0.0
301,Tnfaip1,,0.0,Tnfaip1,,0.0
302,Rec114,,0.0,Rec114,,0.0
303,Ltbp1,,0.0,Ltbp1,,0.0
304,Surf4,,0.0,Surf4,,0.0
305,Igfbp2,,0.0,Igfbp2,,0.0
306,Sh3glb1,,0.0,Sh3glb1,,0.0
307,Pdxk,,0.0,Pdxk,,0.0
308,Idh3g,,0.0,Idh3g,,0.0
309,Metrnl,,0.0,Metrnl,,0.0
310,Vgll3,,0.0,Vgll3,,0.0
311,Qsox1,,0.0,Qsox1,,0.0
312,Hmgb2,,0.0,Hmgb2,,0.0
313,Klf4,,0.0,Klf4,,0.0
314,Actr3,,0.0,Actr3,,0.0
315,Cox4i1,,0.0,Cox4i1,,0.0
316,Lrrfip1,,0.0,Lrrfip1,,0.0
317,Gabarap,,0.0,Gabarap,,0.0
318,Cenpm,,0.0,Cenpm,,0.0
319,Tgfb3,,0.0,Tgfb3,,0.0
320,Xlr3a,,0.0,Xlr3a,,0.0
321,Arl14epl,,0.0,Arl14epl,,0.0
322,2310022B05Rik,,0.0,2310022B05Rik,,0.0
323,Rnaseh2b,,0.0,Rnaseh2b,,0.0
324,Zrsr2,,0.0,Zrsr2,,0.0
325,Ubxn2a,,0.0,Ubxn2a,,0.0
326,Fbln5,,0.0,Fbln5,,0.0
327,Ppp1r18,,0.0,Ppp1r18,,0.0
328,Lactb2,,0.0,Lactb2,,0.0
329,Prrx1,,0.0,Prrx1,,0.0
330,Ier5,,0.0,Ier5,,0.0
331,Parva,,0.0,Parva,,0.0
332,Mrpl15,,0.0,Mrpl15,,0.0
333,1110008L16Rik,,0.0,1110008L16Rik,,0.0
334,Aebp1,,0.0,Aebp1,,0.0
335,Adm,,0.0,Adm,,0.0
336,Sdcbp,,0.0,Sdcbp,,0.0
337,Cebpzos,,0.0,Cebpzos,,0.0
338,Basp1,,0.0,Basp1,,0.0
339,Tmed9,,0.0,Tmed9,,0.0
340,Drap1,,0.0,Drap1,,0.0
341,Twist2,,0.0,Twist2,,0.0
342,Ostc,,0.0,Ostc,,0.0
343,Avpi1,,0.0,Avpi1,,0.0
344,Shisa5,,0.0,Shisa5,,0.0
345,Oat,,0.0,Oat,,0.0
346,Ost4,,0.0,Ost4,,0.0
347,Cxcl12,,0.0,Cxcl12,,0.0
348,Arpc2,,0.0,Arpc2,,0.0
349,Sep15,,0.0,Sep15,,0.0
350,Serpinf1,,0.0,Serpinf1,,0.0
351,Tcl1,,0.0,Tcl1,,0.0
352,Zfp42,,0.0,Zfp42,,0.0
353,Polr2f,,0.0,Polr2f,,0.0
354,Marcks,,0.0,Marcks,,0.0
355,Alpl,,0.0,Alpl,,0.0
356,Fads3,,0.0,Fads3,,0.0
357,Cox6b2,,0.0,Cox6b2,,0.0
358,Rgcc,,0.0,Rgcc,,0.0
359,Rps2,,0.0,Rps2,,0.0
360,Rpl17,,0.0,Rpl17,,0.0
361,Angptl4,,0.0,Angptl4,,0.0
362,H13,,0.0,H13,,0.0
363,Ergic1,,0.0,Ergic1,,0.0
364,Fez2,,0.0,Fez2,,0.0
365,Rbpms2,,0.0,Rbpms2,,0.0
366,Myh9,,0.0,Myh9,,0.0
367,Fgf7,,0.0,Fgf7,,0.0
368,Nenf,,0.0,Nenf,,0.0
369,Phldb2,,0.0,Phldb2,,0.0
370,Col8a1,,0.0,Col8a1,,0.0
371,Zfp428,,0.0,Zfp428,,0.0
372,Gm10036,,0.0,Gm10036,,0.0
373,Rpl7,,0.0,Rpl7,,0.0
374,Txndc5,,0.0,Txndc5,,0.0
375,Rap1b,,0.0,Rap1b,,0.0
376,Cacybp,,0.0,Cacybp,,0.0
377,Fam114a1,,0.0,Fam114a1,,0.0
378,C1qbp,,0.0,C1qbp,,0.0
379,Ndufb5,,0.0,Ndufb5,,0.0
380,Nr0b1,,0.0,Nr0b1,,0.0
381,Gng12,,0.0,Gng12,,0.0
382,Dbn1,,0.0,Dbn1,,0.0
383,Psmg4,,0.0,Psmg4,,0.0
384,Vdac1,,0.0,Vdac1,,0.0
385,H19,,0.0,H19,,0.0
386,Ifitm2,,0.0,Ifitm2,,0.0
387,Rras2,,0.0,Rras2,,0.0
388,Ugdh,,0.0,Ugdh,,0.0
389,Gm13251,,0.0,Gm13251,,0.0
390,Ung,,0.0,Ung,,0.0
391,Fgf4,,0.0,Fgf4,,0.0
392,Lap3,,0.0,Lap3,,0.0
393,Amotl2,,0.0,Amotl2,,0.0
394,Hsf2bp,,0.0,Hsf2bp,,0.0
395,Gfer,,0.0,Gfer,,0.0
396,Tmed2,,0.0,Tmed2,,0.0
397,Loxl3,,0.0,Loxl3,,0.0
398,Col12a1,,0.0,Col12a1,,0.0
399,Lmo4,,0.0,Lmo4,,0.0
400,Arf4,,0.0,Arf4,,0.0
401,Ywhah,,0.0,Ywhah,,0.0
402,Limd2,,0.0,Limd2,,0.0
403,Rbmxl2,,0.0,Rbmxl2,,0.0
404,Adh5,,0.0,Adh5,,0.0
405,Gnb1,,0.0,Gnb1,,0.0
406,Gjb2,,0.0,Gjb2,,0.0
407,Pin4,,0.0,Pin4,,0.0
408,Vangl1,,0.0,Vangl1,,0.0
409,Fbxo15,,0.0,Fbxo15,,0.0
410,Tigar,,0.0,Tigar,,0.0
411,Rpp21,,0.0,Rpp21,,0.0
412,Col4a1,,0.0,Col4a1,,0.0
413,Pop5,,0.0,Pop5,,0.0
414,Rps6ka1,,0.0,Rps6ka1,,0.0
415,Ctgf,,0.0,Ctgf,,0.0
416,Ndufs6,,0.0,Ndufs6,,0.0
417,Calm2,,0.0,Calm2,,0.0
418,Gnb2l1,,0.0,Gnb2l1,,0.0
419,Cldn4,,0.0,Cldn4,,0.0
420,Mbnl2,,0.0,Mbnl2,,0.0
421,Bnip2,,0.0,Bnip2,,0.0
422,Rps15a,,0.0,Rps15a,,0.0
423,Klf9,,0.0,Klf9,,0.0
424,B2m,,0.0,B2m,,0.0
425,Anxa6,,0.0,Anxa6,,0.0
426,Spop,,0.0,Spop,,0.0
427,Dut,,0.0,Dut,,0.0
428,Coprs,,0.0,Coprs,,0.0
429,Cited1,,0.0,Cited1,,0.0
430,Gpx7,,0.0,Gpx7,,0.0
431,Eif4ebp1,,0.0,Eif4ebp1,,0.0
432,Elf3,,0.0,Elf3,,0.0
433,Rab34,,0.0,Rab34,,0.0
434,Msh2,,0.0,Msh2,,0.0
435,Ubald2,,0.0,Ubald2,,0.0
436,Srsf9,,0.0,Srsf9,,0.0
437,Gtsf1l,,0.0,Gtsf1l,,0.0
438,Ezr,,0.0,Ezr,,0.0
439,Ssr3,,0.0,Ssr3,,0.0
440,Sf3b5,,0.0,Sf3b5,,0.0
441,Wsb2,,0.0,Wsb2,,0.0
442,Platr3,,0.0,Platr3,,0.0
443,Atp1b1,,0.0,Atp1b1,,0.0
444,Romo1,,0.0,Romo1,,0.0
445,Rsu1,,0.0,Rsu1,,0.0
446,Mif,,0.0,Mif,,0.0
447,Dap,,0.0,Dap,,0.0
448,Hs6st2,,0.0,Hs6st2,,0.0
449,Ccm2,,0.0,Ccm2,,0.0
450,Hells,,0.0,Hells,,0.0
451,Rab2a,,0.0,Rab2a,,0.0
452,Gm2694,,0.0,Gm2694,,0.0
453,Hnrnpa2b1,,0.0,Hnrnpa2b1,,0.0
454,Pmp22,,0.0,Pmp22,,0.0
455,Park7,,0.0,Park7,,0.0
456,Mmp14,,0.0,Mmp14,,0.0
457,Elk3,,0.0,Elk3,,0.0
458,Wisp2,,0.0,Wisp2,,0.0
459,Pafah1b2,,0.0,Pafah1b2,,0.0
460,Plec,,0.0,Plec,,0.0
461,Rnft1,,0.0,Rnft1,,0.0
462,Chchd4,,0.0,Chchd4,,0.0
463,Pim1,,0.0,Pim1,,0.0
464,Chchd5,,0.0,Chchd5,,0.0
465,Cfl2,,0.0,Cfl2,,0.0
466,Lsm2,,0.0,Lsm2,,0.0
467,F2r,,0.0,F2r,,0.0
468,Map7d1,,0.0,Map7d1,,0.0
469,Cox7a2,,0.0,Cox7a2,,0.0
470,Srrm4os,,0.0,Srrm4os,,0.0
471,Taldo1,,0.0,Taldo1,,0.0
472,Ldha,,0.0,Ldha,,0.0
473,Mphosph8,,0.0,Mphosph8,,0.0
474,Pdcl3,,0.0,Pdcl3,,0.0
475,Col4a2,,0.0,Col4a2,,0.0
476,Fkbp11,,0.0,Fkbp11,,0.0
477,Akr1a1,,0.0,Akr1a1,,0.0
478,Spc24,,0.0,Spc24,,0.0
479,Ly6g6e,,0.0,Ly6g6e,,0.0
480,Rpl27,,0.0,Rpl27,,0.0
481,Flnb,,0.0,Flnb,,0.0
482,Hbegf,,0.0,Hbegf,,0.0
483,Cth,,0.0,Cth,,0.0
484,Platr27,,0.0,Platr27,,0.0
485,Kctd10,,0.0,Kctd10,,0.0
486,Myo1c,,0.0,Myo1c,,0.0
487,Snrpe,,0.0,Snrpe,,0.0
488,Crim1,,0.0,Crim1,,0.0
489,Rpl10a,,0.0,Rpl10a,,0.0
490,Nup62cl,,0.0,Nup62cl,,0.0
491,Vmp1,,0.0,Vmp1,,0.0
492,Ccdc80,,0.0,Ccdc80,,0.0
493,Myadm,,0.0,Myadm,,0.0
494,Rpsa,,0.0,Rpsa,,0.0
495,Ube2c,,0.0,Ube2c,,0.0
496,Sept7,,0.0,Sept7,,0.0
497,Wdr5,,0.0,Wdr5,,0.0
498,Ehbp1l1,,0.0,Ehbp1l1,,0.0
499,Gm2115,,0.0,Gm2115,,0.0
500,Elovl1,,0.0,Elovl1,,0.0
501,Khdc3,,0.0,Khdc3,,0.0
502,Nexn,,0.0,Nexn,,0.0
503,Parp1,,0.0,Parp1,,0.0
504,Actl6a,,0.0,Actl6a,,0.0
505,Rpl4,,0.0,Rpl4,,0.0
506,Pigyl,,0.0,Pigyl,,0.0
507,Tgfb2,,0.0,Tgfb2,,0.0
508,Mgat2,,0.0,Mgat2,,0.0
509,Ildr1,,0.0,Ildr1,,0.0
510,Dusp9,,0.0,Dusp9,,0.0
511,Syce1,,0.0,Syce1,,0.0
512,Sin3b,,0.0,Sin3b,,0.0
513,Akt1,,0.0,Akt1,,0.0
514,Yaf2,,0.0,Yaf2,,0.0
515,Dcxr,,0.0,Dcxr,,0.0
516,Myl12b,,0.0,Myl12b,,0.0
517,Pmepa1,,0.0,Pmepa1,,0.0
518,Dok1,,0.0,Dok1,,0.0
519,Slc25a5,,0.0,Slc25a5,,0.0
520,Nxn,,0.0,Nxn,,0.0
521,Hmga2,,0.0,Hmga2,,0.0
522,Pdia3,,0.0,Pdia3,,0.0
523,Sms,,0.0,Sms,,0.0
524,Ap1s1,,0.0,Ap1s1,,0.0
525,Shmt1,,0.0,Shmt1,,0.0
526,Manf,,0.0,Manf,,0.0
527,Nt5dc2,,0.0,Nt5dc2,,0.0
528,Ssr4,,0.0,Ssr4,,0.0
529,Fkbp4,,0.0,Fkbp4,,0.0
530,Ndufv2,,0.0,Ndufv2,,0.0
531,Aard,,0.0,Aard,,0.0
532,Lbh,,0.0,Lbh,,0.0
533,Tmed5,,0.0,Tmed5,,0.0
534,Gpx2,,0.0,Gpx2,,0.0
535,Csf1,,0.0,Csf1,,0.0
536,Bax,,0.0,Bax,,0.0
537,Ube2r2,,0.0,Ube2r2,,0.0
538,Spcs2,,0.0,Spcs2,,0.0
539,Ptgs2,,0.0,Ptgs2,,0.0
540,Fst,,0.0,Fst,,0.0
541,Fam129b,,0.0,Fam129b,,0.0
542,Mfap2,,0.0,Mfap2,,0.0
543,Hdlbp,,0.0,Hdlbp,,0.0
544,Serpinb6a,,0.0,Serpinb6a,,0.0
545,Anapc10,,0.0,Anapc10,,0.0
546,Tmem9b,,0.0,Tmem9b,,0.0
547,Ppp1r1a,,0.0,Ppp1r1a,,0.0
548,Spcs1,,0.0,Spcs1,,0.0
549,Grhpr,,0.0,Grhpr,,0.0
550,Slc48a1,,0.0,Slc48a1,,0.0
551,Nsmce4a,,0.0,Nsmce4a,,0.0
552,Zfp57,,0.0,Zfp57,,0.0
553,Mrpl42,,0.0,Mrpl42,,0.0
554,Tet1,,0.0,Tet1,,0.0
555,Gemin7,,0.0,Gemin7,,0.0
556,Hspg2,,0.0,Hspg2,,0.0
557,Sdc2,,0.0,Sdc2,,0.0
558,Abcb1b,,0.0,Abcb1b,,0.0
559,Ncam1,,0.0,Ncam1,,0.0
560,Msh6,,0.0,Msh6,,0.0
561,Rpl35,,0.0,Rpl35,,0.0
562,Camk2d,,0.0,Camk2d,,0.0
563,Rps25,,0.0,Rps25,,0.0
564,Nupr1,,0.0,Nupr1,,0.0
565,Tubb2b,,0.0,Tubb2b,,0.0
566,Klf6,,0.0,Klf6,,0.0
567,Fbxo6,,0.0,Fbxo6,,0.0
568,Nhp2l1,,0.0,Nhp2l1,,0.0
569,Lrpap1,,0.0,Lrpap1,,0.0
570,H2afx,,0.0,H2afx,,0.0
571,Rpl5,,0.0,Rpl5,,0.0
572,Aldoa,,0.0,Aldoa,,0.0
573,Nudt4,,0.0,Nudt4,,0.0
574,Dtnbp1,,0.0,Dtnbp1,,0.0
575,Filip1l,,0.0,Filip1l,,0.0
576,Ndufa6,,0.0,Ndufa6,,0.0
577,Cdc42,,0.0,Cdc42,,0.0
578,Pcbp4,,0.0,Pcbp4,,0.0
579,Siva1,,0.0,Siva1,,0.0
580,Pxmp2,,0.0,Pxmp2,,0.0
581,Gss,,0.0,Gss,,0.0
582,Ryk,,0.0,Ryk,,0.0
583,Atp5j2,,0.0,Atp5j2,,0.0
584,Cav2,,0.0,Cav2,,0.0
